name,industry
MIBA REAL S.R.O.,COMMUNICATIONS
"SV cp. 897, 898, Podborany",REAL ESTATE
"SV El. Krasnohorske 38, Plzen",REAL ESTATE
CEMDEST S.R.O.,INDUSTRIALS
RAMIRENT S R O,INDUSTRIALS
VIRGIN FROST S R O,CONSUMER STAPLES
OSOH A S,CONSUMER DISCRETIONARY
SESTRICKA.CZ - DOMACI PECE MOST s.r,HEALTH CARE
LEMFELD INDUSTRY A.S. V LIKVIDACI,INDUSTRIALS
"Toril Invest, a.s.",MATERIALS
MIRRA TRADE S.R.O.,INDUSTRIALS
"SVJ Skupova 13,15,17, Olomouc",REAL ESTATE
CEDOK A S,CONSUMER DISCRETIONARY
"SV U Vodojemu 1270, Kyjov",REAL ESTATE
SSE Explo Ceska republika s.r.o.,MATERIALS
DACHDECKER SPOL S R O,INDUSTRIALS
ALPLA VV CZ S R O,MATERIALS
NDCON LOGIC A S,INDUSTRIALS
WIKOV TURBOGEAR S.R.O.,INDUSTRIALS
FirstFarms Granero s.r.o.,CONSUMER STAPLES
Mlekarna Stribro s.r.o.,CONSUMER STAPLES
Kofola a.s.,CONSUMER STAPLES
EKKL sportovni povrchy s.r.o.,NOT RELEVANT
HODOSCOOP S R O,FINANCIALS
"PREFA-BETON CHEB, SPOL. S R.O.",NOT RELEVANT
REMAFIN 11 A S,CONSUMER DISCRETIONARY
KOKINETICS S R O,NOT RELEVANT
U ZLATYCH NUZEK S R O,REAL ESTATE
FORECAST INT. S.R.O.,NOT RELEVANT
BRISTOL GROUP S R O,FINANCIALS
ROYAL SPA A S,HEALTH CARE
SVJ Gorkeho 70/22,REAL ESTATE
SVETTRANS S R O,NOT RELEVANT
EQS ROBOTICS RENT S.R.O.,NOT RELEVANT
PRO NORTH CZECH A S,CONSUMER DISCRETIONARY
ORLEN UNIPETROL A S,ENERGY
SUCHANEK MILOSLAV,NOT RELEVANT
"MIPA CZECH,S.R.O., V LIKVIDACI",NOT RELEVANT
ALSO CZECH REPUBLIC S R O,INFORMATION TECHNOLOGY
Körber Pharma Packaging Materials ,INDUSTRIALS
BD Fantova 1785 - 1787,REAL ESTATE
HELUZ S R O,MATERIALS
ZELEZARNY VELKY SENOV S R O,MATERIALS
NAOMI HOLDING A S,CONSUMER DISCRETIONARY
"SV 991-993, Uh. Hradiste",REAL ESTATE
KOVAZ S R O,INDUSTRIALS
"SVJ domu 51, Slustice",REAL ESTATE
GRAPO S R O,INDUSTRIALS
FOX SOLAR S R O,UTILITIES
SV Na Petrinach 11/1790,REAL ESTATE
